codigo_cid;nome_cid;passe_livre;uf;regiao;turno_
3550308;SÃO PAULO;0;SP;SE;1
3304557;RIO DE JANEIRO;1;RJ;SE;1
5300108;BRASÍLIA;0;DF;CO;1
2927408;SALVADOR;1;BA;NE;1
2304400;FORTALEZA;1;CE;NE;1
3106200;BELO HORIZONTE;0;MG;SE;1
1302603;MANAUS;1;AM;NO;1
4106902;CURITIBA;1;PR;SL;1
2611606;RECIFE;0;PE;NE;1
5208707;GOIÂNIA;0;GO;CO;1
1501402;BELÉM;0;PA;NO;1
4314902;PORTO ALEGRE;1;RS;SL;1
3518800;GUARULHOS;0;SP;SE;1
3509502;CAMPINAS;0;SP;SE;1
2111300;SÃO LUÍS;1;MA;NE;1
3304904;SÃO GONÇALO;0;RJ;SE;1
2704302;MACEIÓ;1;AL;NE;1
3301702;DUQUE DE CAXIAS;0;RJ;SE;1
5002704;CAMPO GRANDE;1;MS;CO;1
2408102;NATAL;0;RN;NE;1
2211001;TERESINA;0;PI;NE;1
3548708;SÃO BERNARDO DO CAMPO;0;SP;SE;1
2507507;JOÃO PESSOA;0;PB;NE;1
3303500;NOVA IGUAÇU;0;RJ;SE;1
3549904;SÃO JOSÉ DOS CAMPOS;0;SP;SE;1
3547809;SANTO ANDRÉ;0;SP;SE;1
3543402;RIBEIRÃO PRETO;0;SP;SE;1
2607901;JABOATÃO DOS GUARARAPES;0;PE;NE;1
3170206;UBERLÂNDIA;1;MG;SE;1
3534401;OSASCO;1;SP;SE;1
3552205;SOROCABA;0;SP;SE;1
3118601;CONTAGEM;0;MG;SE;1
2800308;ARACAJU;0;SE;NE;1
2910800;FEIRA DE SANTANA;0;BA;NE;1
5103403;CUIABÁ;0;MT;CO;1
4209102;JOINVILLE;0;SC;SL;1
5201405;APARECIDA DE GOIÂNIA;0;GO;CO;1
4113700;LONDRINA;0;PR;SL;1
3136702;JUIZ DE FORA;1;MG;SE;1
1100205;PORTO VELHO;1;RO;NO;1
1500800;ANANINDEUA;0;PA;NO;1
3205002;SERRA;0;ES;SE;1
4305108;CAXIAS DO SUL;1;RS;SL;1
1600303;MACAPÁ;0;AP;NO;1
3303302;NITERÓI;1;RJ;SE;1
4205407;FLORIANÓPOLIS;1;SC;SL;1
3300456;BELFORD ROXO;0;RJ;SE;1
3301009;CAMPOS DOS GOYTACAZES;0;RJ;SE;1
3205200;VILA VELHA;0;ES;SE;1
3529401;MAUÁ;0;SP;SE;1
3305109;SÃO JOÃO DE MERITI;0;RJ;SE;1
3549805;SÃO JOSÉ DO RIO PRETO;0;SP;SE;1
3530607;MOGI DAS CRUZES;0;SP;SE;1
3106705;BETIM;0;MG;SE;1
1400100;BOA VISTA;1;RR;NO;1
4115200;MARINGÁ;1;PR;SL;1
3548500;SANTOS;0;SP;SE;1
3513801;DIADEMA;1;SP;SE;1
3525904;JUNDIAÍ;0;SP;SE;1
1200401;RIO BRANCO;0;AC;NO;1
3143302;MONTES CLAROS;0;MG;SE;1
2504009;CAMPINA GRANDE;1;PB;NE;1
3538709;PIRACICABA;0;SP;SE;1
3510609;CARAPICUÍBA;0;SP;SE;1
5201108;ANÁPOLIS;0;GO;CO;1
2609600;OLINDA;0;PE;NE;1
3201308;CARIACICA;0;ES;SE;1
3506003;BAURU;0;SP;SE;1
3523107;ITAQUAQUECETUBA;0;SP;SE;1
3551009;SÃO VICENTE;0;SP;SE;1
3205309;VITÓRIA;0;ES;SE;1
2604106;CARUARU;0;PE;NE;1
2303709;CAUCAIA;0;CE;NE;1
4202404;BLUMENAU;0;SC;SL;1
2611101;PETROLINA;0;PE;NE;1
4119905;PONTA GROSSA;0;PR;SL;1
3516200;FRANCA;0;SP;SE;1
4304606;CANOAS;1;RS;SL;1
4314407;PELOTAS;1;RS;SL;1
2933307;VITÓRIA DA CONQUISTA;0;BA;NE;1
3154606;RIBEIRÃO DAS NEVES;0;MG;SE;1
3170107;UBERABA;0;MG;SE;1
2610707;PAULISTA;0;PE;NE;1
3541000;PRAIA GRANDE;0;SP;SE;1
4104808;CASCAVEL;0;SC;SL;1
4125506;SÃO JOSÉ DOS PINHAIS;0;PR;SL;1
3518701;GUARUJÁ;0;SP;SE;1
3554102;TAUBATÉ;0;SP;SE;1
1721000;PALMAS;1;TO;NO;1
3526902;LIMEIRA;0;SP;SE;1
2905701;CAMAÇARI;0;BA;NE;1
1506807;SANTARÉM;0;PA;NO;1
3303906;PETRÓPOLIS;1;RJ;SE;1
2408003;MOSSORÓ;0;RN;NE;1
3552502;SUZANO;0;SP;SE;1
